pair,subject,a,b,choice
p01,s1_control_blonde,s1_control_blonde/1.png,s1_control_blonde/3.png,
p02,s3_multitone_balayage,s3_multitone_balayage/3.png,s3_multitone_balayage/0.png,
p03,s2_control_brunette,s2_control_brunette/2.png,s2_control_brunette/3.png,
p04,s1_control_blonde,s1_control_blonde/0.png,s1_control_blonde/1.png,
p05,s1_control_blonde,s1_control_blonde/4.png,s1_control_blonde/1.png,
p06,s3_multitone_balayage,s3_multitone_balayage/2.png,s3_multitone_balayage/0.png,
p07,s1_control_blonde,s1_control_blonde/2.png,s1_control_blonde/3.png,
p08,s4_multitone_bob,s4_multitone_bob/1.png,s4_multitone_bob/2.png,
p09,s3_multitone_balayage,s3_multitone_balayage/3.png,s3_multitone_balayage/4.png,
p10,s2_control_brunette,s2_control_brunette/0.png,s2_control_brunette/1.png,
p11,s2_control_brunette,s2_control_brunette/3.png,s2_control_brunette/1.png,
p12,s4_multitone_bob,s4_multitone_bob/1.png,s4_multitone_bob/3.png,
p13,s1_control_blonde,s1_control_blonde/2.png,s1_control_blonde/0.png,
p14,s3_multitone_balayage,s3_multitone_balayage/2.png,s3_multitone_balayage/1.png,
p15,s1_control_blonde,s1_control_blonde/2.png,s1_control_blonde/4.png,
p16,s2_control_brunette,s2_control_brunette/1.png,s2_control_brunette/2.png,
p17,s4_multitone_bob,s4_multitone_bob/1.png,s4_multitone_bob/4.png,
p18,s4_multitone_bob,s4_multitone_bob/0.png,s4_multitone_bob/4.png,
p19,s4_multitone_bob,s4_multitone_bob/3.png,s4_multitone_bob/4.png,
p20,s1_control_blonde,s1_control_blonde/1.png,s1_control_blonde/2.png,
p21,s4_multitone_bob,s4_multitone_bob/2.png,s4_multitone_bob/0.png,
p22,s4_multitone_bob,s4_multitone_bob/2.png,s4_multitone_bob/3.png,
p23,s4_multitone_bob,s4_multitone_bob/0.png,s4_multitone_bob/3.png,
p24,s3_multitone_balayage,s3_multitone_balayage/0.png,s3_multitone_balayage/4.png,
p25,s1_control_blonde,s1_control_blonde/4.png,s1_control_blonde/3.png,
p26,s2_control_brunette,s2_control_brunette/4.png,s2_control_brunette/2.png,
p27,s3_multitone_balayage,s3_multitone_balayage/0.png,s3_multitone_balayage/1.png,
p28,s4_multitone_bob,s4_multitone_bob/4.png,s4_multitone_bob/2.png,
p29,s3_multitone_balayage,s3_multitone_balayage/2.png,s3_multitone_balayage/4.png,
p30,s2_control_brunette,s2_control_brunette/4.png,s2_control_brunette/1.png,
p31,s3_multitone_balayage,s3_multitone_balayage/3.png,s3_multitone_balayage/2.png,
p32,s3_multitone_balayage,s3_multitone_balayage/3.png,s3_multitone_balayage/1.png,
p33,s2_control_brunette,s2_control_brunette/4.png,s2_control_brunette/0.png,
p34,s1_control_blonde,s1_control_blonde/4.png,s1_control_blonde/0.png,
p35,s2_control_brunette,s2_control_brunette/3.png,s2_control_brunette/0.png,
p36,s2_control_brunette,s2_control_brunette/0.png,s2_control_brunette/2.png,
p37,s2_control_brunette,s2_control_brunette/3.png,s2_control_brunette/4.png,
p38,s3_multitone_balayage,s3_multitone_balayage/4.png,s3_multitone_balayage/1.png,
p39,s4_multitone_bob,s4_multitone_bob/0.png,s4_multitone_bob/1.png,
p40,s1_control_blonde,s1_control_blonde/0.png,s1_control_blonde/3.png,
